Age,Gender,Education Level,Job Title,Years of Experience,Location,Work Mode,Salary
58,Male,Bachelor's,Project Manager,11.1,Gurgaon,On-site,2682964
47,Female,Bachelor's,Full Stack Developer,17.6,Chennai,On-site,3219288
54,Female,Master's,QA Engineer,4.0,Bangalore,Hybrid,1359650
20,Male,Master's,Intern,0.5,Mumbai,Remote,417595
44,Female,Bachelor's,Software Engineer,16.9,Gurgaon,Hybrid,3223375
18,Female,Master's,Marketing Manager,3.9,Bangalore,Remote,1851010
43,Male,Bachelor's,Frontend Developer,21.0,Bangalore,Remote,3822593
22,Female,Master's,Project Manager,6.5,Gurgaon,Hybrid,2231671
35,Female,Bachelor's,HR Manager,2.0,Noida,Remote,1275172
35,Male,PhD,Project Manager,23.8,Hyderabad,On-site,4989767
53,Female,Bachelor's,Backend Developer,19.9,Bangalore,On-site,3657215
45,Female,Master's,Project Manager,9.1,Pune,Hybrid,2518719
45,Female,Master's,Software Engineer,2.1,Pune,Hybrid,1047288
59,Male,Bachelor's,DevOps Engineer,18.9,Noida,On-site,3395218
21,Female,Bachelor's,Data Scientist,18.3,Mumbai,On-site,3673116
19,Female,Master's,Full Stack Developer,13.8,Bangalore,On-site,2893938
22,Female,High School,Intern,1.0,Gurgaon,Hybrid,560290
47,Male,Bachelor's,Software Engineer,22.4,Bangalore,Hybrid,4012221
25,Male,Master's,Product Manager,2.0,Pune,Hybrid,1456906
18,Male,Master's,Product Manager,0.4,Gurgaon,Remote,1248230
40,Male,Bachelor's,Business Analyst,13.5,Bangalore,Remote,2700640
19,Male,Master's,Intern,0.0,Pune,Hybrid,381280
39,Male,Bachelor's,Product Manager,13.2,Gurgaon,Hybrid,3046550
25,Male,Bachelor's,Full Stack Developer,15.5,Pune,Hybrid,2899093
23,Male,Master's,Marketing Manager,14.7,Bangalore,On-site,3421012
53,Female,Bachelor's,Data Scientist,12.4,Chennai,On-site,2740151
56,Male,Bachelor's,Backend Developer,18.8,Pune,Remote,3319542
20,Male,High School,Frontend Developer,11.3,Bangalore,Hybrid,2382645
47,Male,Bachelor's,QA Engineer,11.2,Chennai,Remote,2132241
18,Female,Master's,Intern,0.6,Bangalore,On-site,513236
25,Male,Bachelor's,HR Manager,0.8,Hyderabad,Remote,987972
31,Female,Master's,Business Analyst,0.3,Noida,Hybrid,787626
41,Female,Master's,Data Scientist,3.7,Pune,Hybrid,1599018
34,Female,Bachelor's,Product Manager,9.5,Pune,Hybrid,2281249
37,Female,Bachelor's,HR Manager,2.8,Noida,On-site,1400005
23,Male,Master's,Intern,0.3,Gurgaon,Hybrid,419912
19,Male,Bachelor's,HR Manager,1.1,Hyderabad,Remote,1146648
24,Male,Bachelor's,Marketing Manager,20.2,Pune,On-site,3895975
27,Male,High School,QA Engineer,5.8,Pune,Hybrid,1436503
44,Female,Bachelor's,QA Engineer,13.9,Chennai,Hybrid,2540598
21,Female,Bachelor's,Product Manager,15.8,Hyderabad,On-site,3262606
59,Female,Bachelor's,Full Stack Developer,9.9,Pune,On-site,1987505
42,Male,Bachelor's,QA Engineer,14.8,Gurgaon,Hybrid,2895018
23,Male,Bachelor's,Marketing Manager,17.5,Gurgaon,Hybrid,3622701
21,Female,Bachelor's,Intern,0.6,Gurgaon,Remote,365143
43,Male,Bachelor's,Business Analyst,13.3,Bangalore,Hybrid,2564119
36,Female,High School,HR Manager,14.9,Bangalore,On-site,3188077
22,Female,Master's,Product Manager,16.0,Noida,On-site,3572345
37,Male,Bachelor's,UX Designer,20.3,Chennai,Hybrid,3612872
39,Female,Master's,HR Manager,15.8,Pune,Remote,3462341
22,Female,Bachelor's,Intern,0.2,Bangalore,On-site,499554
49,Male,Bachelor's,Full Stack Developer,1.0,Mumbai,Hybrid,819008
30,Female,Master's,Product Manager,18.4,Mumbai,On-site,4030197
18,Male,Bachelor's,Intern,0.7,Hyderabad,Hybrid,474388
32,Male,Master's,UX Designer,18.0,Noida,Remote,3466796
19,Female,Bachelor's,Software Engineer,19.9,Hyderabad,Remote,3499494
54,Female,High School,Backend Developer,2.0,Hyderabad,On-site,798339
47,Female,Bachelor's,Product Manager,16.8,Hyderabad,On-site,3433321
24,Male,High School,Backend Developer,0.8,Gurgaon,Hybrid,770014
22,Male,Bachelor's,DevOps Engineer,17.0,Bangalore,Remote,3124155
51,Male,Bachelor's,Marketing Manager,24.5,Noida,Remote,4653369
22,Female,Bachelor's,Intern,0.9,Pune,Remote,547292
29,Male,Master's,Full Stack Developer,6.0,Mumbai,On-site,1762247
18,Male,Bachelor's,Business Analyst,4.5,Pune,Remote,1223430
25,Female,Bachelor's,Data Scientist,6.8,Hyderabad,On-site,1890275
24,Male,Bachelor's,HR Manager,16.5,Hyderabad,On-site,3458661
29,Female,Bachelor's,Full Stack Developer,24.3,Hyderabad,On-site,4165706
21,Male,Bachelor's,Intern,0.5,Noida,Hybrid,336157
50,Male,Master's,Business Analyst,12.9,Noida,Remote,2696100
22,Male,Bachelor's,Project Manager,6.3,Bangalore,Hybrid,2037246
45,Female,High School,Marketing Manager,21.9,Hyderabad,Hybrid,4275520
55,Female,High School,Full Stack Developer,9.4,Pune,Remote,1997097
42,Female,Master's,HR Manager,23.6,Gurgaon,Remote,4770395
30,Male,Bachelor's,Product Manager,10.2,Gurgaon,On-site,2531870
44,Female,Bachelor's,Full Stack Developer,17.7,Pune,Hybrid,3123051
59,Male,Bachelor's,Project Manager,23.0,Bangalore,Hybrid,4514149
58,Female,Master's,HR Manager,22.0,Bangalore,Remote,4597273
53,Female,Bachelor's,Frontend Developer,1.2,Chennai,Hybrid,746996
39,Female,Bachelor's,Full Stack Developer,21.1,Bangalore,Hybrid,3763266
32,Male,Master's,QA Engineer,14.8,Pune,Hybrid,2886445
50,Male,Bachelor's,UX Designer,22.5,Bangalore,Remote,3941667
30,Female,PhD,Data Scientist,24.7,Noida,Remote,5092956
35,Male,Bachelor's,HR Manager,14.3,Hyderabad,Hybrid,3049207
34,Female,Bachelor's,Project Manager,16.0,Gurgaon,Remote,3355197
45,Female,Master's,Business Analyst,10.4,Bangalore,On-site,2326711
27,Female,Master's,DevOps Engineer,9.7,Hyderabad,On-site,2231282
55,Male,Master's,DevOps Engineer,18.7,Hyderabad,Hybrid,3585431
37,Male,Master's,DevOps Engineer,9.7,Chennai,Remote,2116442
54,Female,Master's,Backend Developer,3.9,Gurgaon,On-site,1371656
55,Male,Bachelor's,DevOps Engineer,10.6,Noida,On-site,2073347
23,Female,Bachelor's,UX Designer,14.6,Pune,Remote,2695996
59,Female,Master's,Frontend Developer,24.5,Bangalore,Hybrid,4551018
43,Female,Master's,Business Analyst,20.5,Gurgaon,Hybrid,3905705
54,Female,Bachelor's,Backend Developer,9.6,Bangalore,On-site,2086495
49,Female,Bachelor's,Software Engineer,22.8,Chennai,Hybrid,3870534
50,Male,Master's,Full Stack Developer,7.6,Noida,Remote,1826686
47,Female,Bachelor's,Backend Developer,4.1,Pune,On-site,1133774
30,Male,Bachelor's,Product Manager,23.7,Bangalore,Hybrid,4578411
50,Female,PhD,Software Engineer,3.7,Pune,Hybrid,1531688
52,Male,Bachelor's,Product Manager,19.0,Mumbai,Remote,3836244
50,Male,Bachelor's,Product Manager,10.9,Bangalore,Hybrid,2696024
36,Female,Master's,Data Scientist,10.3,Chennai,Remote,2554782
19,Male,Master's,Business Analyst,12.0,Gurgaon,Hybrid,2621906
42,Female,High School,Marketing Manager,22.7,Chennai,On-site,4337645
54,Male,Master's,Software Engineer,10.7,Hyderabad,Remote,2285464
50,Female,Master's,QA Engineer,1.6,Noida,Hybrid,1028210
53,Female,Bachelor's,Data Scientist,19.4,Gurgaon,Hybrid,3904350
59,Female,Master's,UX Designer,12.0,Gurgaon,On-site,2610555
45,Male,Bachelor's,Data Scientist,17.7,Chennai,On-site,3513741
59,Female,Bachelor's,HR Manager,8.7,Hyderabad,On-site,2184891
22,Male,Bachelor's,Data Scientist,23.3,Mumbai,Hybrid,4438663
24,Female,Bachelor's,Product Manager,5.0,Bangalore,On-site,1739763
37,Male,Master's,UX Designer,13.4,Hyderabad,On-site,2712623
22,Female,Bachelor's,Project Manager,22.5,Chennai,Hybrid,4240911
34,Male,PhD,Product Manager,4.5,Pune,On-site,2077931
24,Female,PhD,Frontend Developer,8.7,Mumbai,Hybrid,2398898
48,Female,Bachelor's,HR Manager,19.3,Hyderabad,Remote,3846313
50,Male,Bachelor's,Business Analyst,9.3,Bangalore,Hybrid,2002065
32,Male,Bachelor's,UX Designer,11.6,Chennai,On-site,2205767
24,Male,PhD,Software Engineer,4.4,Gurgaon,Hybrid,1752969
58,Female,High School,QA Engineer,18.8,Gurgaon,On-site,3417759
43,Male,Master's,Frontend Developer,19.0,Hyderabad,Hybrid,3535988
40,Male,Master's,Business Analyst,24.1,Mumbai,Remote,4393958
23,Male,High School,UX Designer,2.3,Noida,Remote,805283
36,Female,Master's,DevOps Engineer,8.1,Chennai,Hybrid,1961178
18,Female,Master's,Marketing Manager,19.8,Noida,Hybrid,4092640
18,Male,Bachelor's,Full Stack Developer,1.2,Chennai,Hybrid,745329
58,Female,PhD,Backend Developer,1.6,Noida,Hybrid,1262112
49,Male,PhD,UX Designer,24.7,Gurgaon,Hybrid,4782374
25,Female,Bachelor's,Software Engineer,1.5,Bangalore,Hybrid,788218
34,Female,Master's,QA Engineer,19.1,Noida,Remote,3527649
22,Female,Bachelor's,Project Manager,9.0,Chennai,Remote,2336729
41,Female,High School,HR Manager,2.3,Gurgaon,Hybrid,1408108
50,Female,Master's,UX Designer,16.1,Gurgaon,Remote,3197694
47,Female,Bachelor's,Backend Developer,15.1,Bangalore,Hybrid,2939133
54,Male,Bachelor's,Data Scientist,11.2,Noida,Hybrid,2519216
50,Female,Bachelor's,Business Analyst,5.3,Mumbai,Remote,1379391
30,Male,Master's,Full Stack Developer,6.8,Mumbai,On-site,1857897
25,Female,High School,QA Engineer,1.0,Mumbai,Remote,801746
38,Female,High School,Business Analyst,20.7,Mumbai,Remote,3719825
59,Male,Master's,Product Manager,22.2,Bangalore,Hybrid,4540506
23,Female,Master's,Project Manager,9.4,Hyderabad,Hybrid,2513999
34,Male,Bachelor's,Backend Developer,24.5,Mumbai,On-site,4369685
23,Female,High School,Intern,0.4,Gurgaon,Hybrid,566007
53,Male,Bachelor's,Software Engineer,18.5,Noida,Hybrid,3350768
39,Male,Bachelor's,Product Manager,17.4,Noida,Remote,3476398
33,Male,Master's,Software Engineer,21.5,Pune,On-site,3982659
37,Female,Master's,Project Manager,18.7,Noida,On-site,3926963
24,Male,PhD,HR Manager,17.2,Hyderabad,Hybrid,4029251
50,Male,Master's,Project Manager,15.6,Pune,On-site,3414091
46,Male,Master's,Business Analyst,4.9,Hyderabad,Remote,1516458
56,Female,Master's,Frontend Developer,22.5,Gurgaon,Remote,4219904
38,Male,High School,Product Manager,6.6,Mumbai,Hybrid,2082952
29,Male,Bachelor's,Marketing Manager,14.6,Gurgaon,Hybrid,3254629
32,Male,Master's,DevOps Engineer,0.5,Noida,On-site,775771
23,Male,Bachelor's,Product Manager,21.6,Pune,Hybrid,4235723
34,Male,Bachelor's,Frontend Developer,9.3,Pune,Hybrid,1930204
45,Male,Bachelor's,DevOps Engineer,3.7,Mumbai,Remote,1135184
21,Male,Master's,Project Manager,12.4,Pune,Hybrid,2947626
23,Male,Bachelor's,Data Scientist,4.0,Hyderabad,On-site,1438070
59,Female,Bachelor's,Marketing Manager,12.5,Hyderabad,Hybrid,2779225
41,Female,Bachelor's,Software Engineer,5.4,Mumbai,Remote,1376532
28,Male,Bachelor's,Product Manager,24.6,Mumbai,Hybrid,4726868
54,Female,Master's,UX Designer,1.6,Mumbai,Hybrid,1044571
46,Male,Bachelor's,DevOps Engineer,8.9,Bangalore,Hybrid,2001841
49,Male,Bachelor's,Software Engineer,3.9,Hyderabad,Remote,1104296
39,Female,Bachelor's,Data Scientist,9.3,Pune,Remote,2245516
52,Female,Bachelor's,Data Scientist,4.5,Hyderabad,Hybrid,1543713
33,Male,Bachelor's,Frontend Developer,13.4,Mumbai,On-site,2566358
22,Male,Master's,Intern,0.3,Gurgaon,Hybrid,550279
23,Male,Master's,Marketing Manager,21.0,Gurgaon,Remote,4429994
21,Male,Bachelor's,Business Analyst,7.2,Hyderabad,Remote,1535607
27,Male,Bachelor's,DevOps Engineer,3.2,Gurgaon,On-site,1033930
39,Female,Bachelor's,DevOps Engineer,19.6,Noida,Remote,3539099
53,Male,Bachelor's,QA Engineer,24.0,Mumbai,On-site,4162888
20,Female,Bachelor's,HR Manager,3.6,Bangalore,On-site,1576339
32,Male,Bachelor's,QA Engineer,23.0,Mumbai,Hybrid,4078579
58,Male,Bachelor's,Project Manager,14.2,Bangalore,Hybrid,3122784
54,Male,Bachelor's,HR Manager,23.6,Gurgaon,Remote,4539501
22,Male,Bachelor's,DevOps Engineer,12.2,Chennai,Hybrid,2394617
34,Female,Bachelor's,Project Manager,20.5,Mumbai,Hybrid,4157808
29,Female,Bachelor's,QA Engineer,4.0,Chennai,Hybrid,1123328
28,Male,Bachelor's,Project Manager,15.8,Noida,Remote,3290081
57,Male,PhD,Business Analyst,6.2,Hyderabad,On-site,2028873
31,Male,Bachelor's,HR Manager,20.4,Noida,On-site,3980105
33,Female,Master's,Software Engineer,5.6,Chennai,Remote,1630624
44,Male,Master's,Marketing Manager,12.7,Mumbai,Remote,3186096
39,Male,Master's,Software Engineer,24.2,Chennai,Remote,4368403
48,Female,Master's,UX Designer,0.9,Gurgaon,Remote,964782
49,Male,Master's,Marketing Manager,18.6,Gurgaon,Remote,4006792
18,Female,Bachelor's,Software Engineer,2.5,Noida,On-site,945818
19,Male,Bachelor's,Marketing Manager,5.3,Noida,Hybrid,1703656
21,Female,Bachelor's,Intern,0.1,Gurgaon,On-site,328298
54,Male,Bachelor's,Backend Developer,24.5,Hyderabad,Hybrid,4183224
36,Female,Bachelor's,HR Manager,12.7,Gurgaon,Remote,2964207
22,Male,Bachelor's,Software Engineer,21.5,Bangalore,Remote,3848240
25,Female,Bachelor's,UX Designer,6.3,Pune,Remote,1458956
23,Female,Master's,Intern,0.6,Chennai,Remote,579893
28,Female,Bachelor's,Data Scientist,2.1,Bangalore,Remote,1311274
35,Female,Bachelor's,Business Analyst,19.4,Pune,On-site,3475470
54,Male,Bachelor's,Full Stack Developer,6.7,Mumbai,On-site,1582635
19,Female,PhD,HR Manager,13.6,Mumbai,Hybrid,3580294
39,Male,Master's,Frontend Developer,24.9,Bangalore,Remote,4570061
25,Female,Bachelor's,Software Engineer,13.1,Bangalore,On-site,2540894
38,Female,Bachelor's,UX Designer,19.3,Gurgaon,Remote,3479224
50,Female,Bachelor's,HR Manager,8.7,Noida,Hybrid,2155435
19,Female,Bachelor's,Software Engineer,7.5,Chennai,Hybrid,1669412
35,Male,Master's,QA Engineer,2.6,Gurgaon,Remote,1167594
40,Male,Bachelor's,HR Manager,4.1,Hyderabad,On-site,1489702
41,Male,Master's,DevOps Engineer,19.2,Chennai,Remote,3535353
42,Male,Bachelor's,Project Manager,20.1,Hyderabad,Hybrid,3981564
38,Female,PhD,UX Designer,6.6,Mumbai,On-site,2127069
22,Male,Bachelor's,HR Manager,13.9,Mumbai,Remote,3115228
53,Male,Bachelor's,DevOps Engineer,13.2,Gurgaon,On-site,2633089
59,Female,Master's,Full Stack Developer,16.4,Mumbai,On-site,3226674
37,Female,PhD,UX Designer,4.8,Hyderabad,On-site,1756304
49,Female,Bachelor's,Backend Developer,24.1,Pune,Hybrid,4181396
42,Male,Bachelor's,UX Designer,13.7,Mumbai,Remote,2641368
42,Female,Bachelor's,Backend Developer,4.9,Pune,Remote,1242146
54,Male,Bachelor's,Project Manager,7.6,Chennai,On-site,2027426
39,Male,Bachelor's,Full Stack Developer,2.0,Bangalore,On-site,918697
35,Male,Master's,HR Manager,10.7,Gurgaon,Remote,2889568
32,Male,Master's,Product Manager,17.6,Gurgaon,Remote,3936691
58,Female,Bachelor's,QA Engineer,2.6,Bangalore,Hybrid,948368
56,Female,Bachelor's,Software Engineer,15.1,Pune,Remote,2845418
35,Male,Master's,DevOps Engineer,13.4,Mumbai,Hybrid,2801285
41,Male,Bachelor's,Product Manager,5.4,Hyderabad,Remote,1803598
20,Female,Master's,Intern,0.5,Chennai,On-site,460223
21,Male,Bachelor's,Business Analyst,1.2,Mumbai,Hybrid,878439
26,Male,Bachelor's,DevOps Engineer,11.4,Bangalore,On-site,2397378
47,Male,Master's,Software Engineer,24.1,Bangalore,Remote,4410302
27,Female,PhD,Product Manager,3.9,Chennai,Hybrid,2007369
39,Male,Bachelor's,Product Manager,9.5,Mumbai,Remote,2402183
35,Male,Bachelor's,UX Designer,16.0,Noida,Hybrid,2909281
22,Male,Bachelor's,Data Scientist,19.5,Noida,On-site,3730865
20,Female,Bachelor's,UX Designer,15.6,Chennai,On-site,2802140
38,Male,Bachelor's,Marketing Manager,3.9,Pune,Remote,1457550
26,Male,Bachelor's,Software Engineer,20.8,Mumbai,On-site,3720068
39,Female,Bachelor's,Project Manager,9.1,Gurgaon,On-site,2348618
26,Male,Master's,Backend Developer,0.7,Hyderabad,On-site,851860
42,Male,Bachelor's,HR Manager,7.2,Noida,Hybrid,2046986
56,Female,Master's,HR Manager,5.5,Mumbai,On-site,2056283
22,Male,Bachelor's,Marketing Manager,20.0,Bangalore,On-site,3960544
36,Female,Bachelor's,UX Designer,16.5,Hyderabad,On-site,2957340
25,Female,PhD,Data Scientist,17.5,Pune,On-site,3956003
53,Female,Master's,Backend Developer,10.4,Gurgaon,Hybrid,2351182
23,Female,Bachelor's,Software Engineer,8.8,Mumbai,On-site,1922289
50,Male,Bachelor's,UX Designer,21.8,Gurgaon,On-site,3835141
18,Male,Bachelor's,Intern,0.9,Chennai,Remote,424094
56,Female,Bachelor's,Business Analyst,22.3,Chennai,Remote,3854839
25,Male,Bachelor's,HR Manager,5.1,Chennai,Hybrid,1750808
24,Male,Master's,QA Engineer,5.9,Pune,Remote,1573926
44,Male,High School,Full Stack Developer,10.4,Hyderabad,Hybrid,2105968
28,Male,Master's,Frontend Developer,24.8,Chennai,Hybrid,4490875
26,Male,Bachelor's,Software Engineer,6.6,Bangalore,On-site,1674232
36,Female,Bachelor's,Data Scientist,13.7,Pune,On-site,2951033
53,Male,Bachelor's,HR Manager,21.2,Chennai,Remote,4152443
22,Male,Bachelor's,Intern,0.3,Chennai,Hybrid,373294
55,Male,Master's,DevOps Engineer,15.9,Noida,On-site,3035911
55,Female,Bachelor's,Product Manager,0.8,Pune,Remote,1088341
43,Male,Master's,Software Engineer,13.7,Bangalore,Hybrid,2923570
20,Male,PhD,Intern,0.4,Pune,Remote,395517
43,Male,Master's,Business Analyst,12.7,Hyderabad,On-site,2670287
48,Female,Bachelor's,Business Analyst,23.1,Pune,Remote,3999160
18,Male,Bachelor's,Full Stack Developer,22.6,Mumbai,On-site,3946998
58,Female,Bachelor's,UX Designer,15.7,Bangalore,On-site,2928070
40,Female,Master's,DevOps Engineer,11.4,Pune,Remote,2455019
58,Male,Bachelor's,Full Stack Developer,13.6,Chennai,Remote,2567240
40,Female,Bachelor's,HR Manager,9.1,Noida,Remote,2312915
49,Female,Bachelor's,Full Stack Developer,1.7,Chennai,Remote,839344
26,Male,Bachelor's,HR Manager,17.3,Bangalore,On-site,3683753
44,Female,Master's,Backend Developer,21.4,Pune,On-site,3930458
39,Female,Master's,Marketing Manager,9.3,Mumbai,Hybrid,2677445
48,Male,Bachelor's,Frontend Developer,17.7,Pune,On-site,3172893
45,Female,Bachelor's,HR Manager,22.5,Pune,Remote,4231444
34,Female,Bachelor's,Software Engineer,14.3,Pune,Hybrid,2647313
22,Male,Bachelor's,UX Designer,5.7,Pune,Remote,1446072
46,Female,Master's,Business Analyst,0.7,Pune,Remote,848522
51,Male,Bachelor's,UX Designer,9.3,Chennai,Hybrid,1991350
55,Female,Master's,Product Manager,14.4,Mumbai,Remote,3337775
44,Female,Master's,Full Stack Developer,18.2,Noida,Remote,3436044
46,Female,Master's,HR Manager,24.7,Pune,On-site,4795207
44,Female,Master's,QA Engineer,6.7,Noida,Hybrid,1735742
19,Male,Master's,DevOps Engineer,5.4,Gurgaon,Remote,1580172
19,Female,Bachelor's,Intern,0.6,Pune,On-site,445159
18,Female,PhD,Intern,0.3,Bangalore,On-site,359569
35,Male,Bachelor's,HR Manager,17.3,Chennai,Remote,3462756
24,Male,Bachelor's,Software Engineer,15.3,Pune,Hybrid,2752451
22,Male,Bachelor's,Frontend Developer,18.6,Hyderabad,Remote,3288631
23,Male,High School,Intern,0.7,Mumbai,Hybrid,352365
45,Male,High School,UX Designer,4.6,Bangalore,On-site,1244793
46,Male,Master's,Product Manager,9.8,Chennai,Hybrid,2625959
55,Female,PhD,Project Manager,3.6,Gurgaon,Remote,2105118
49,Male,Bachelor's,Backend Developer,23.1,Noida,Remote,3986656
24,Male,Master's,Business Analyst,21.0,Gurgaon,On-site,4032376
24,Female,Bachelor's,Backend Developer,24.3,Hyderabad,On-site,4161195
53,Female,Bachelor's,Business Analyst,20.6,Hyderabad,Remote,3643650
52,Male,PhD,Product Manager,13.9,Mumbai,Remote,3610097
27,Male,Master's,UX Designer,14.4,Mumbai,On-site,3035711
42,Male,Master's,Software Engineer,10.9,Chennai,On-site,2356716
46,Male,Bachelor's,Marketing Manager,1.3,Mumbai,Hybrid,1229113
23,Male,Bachelor's,Marketing Manager,3.4,Mumbai,Remote,1480190
43,Female,Bachelor's,HR Manager,13.2,Bangalore,Hybrid,2995562
23,Female,Bachelor's,UX Designer,22.3,Pune,Hybrid,3919139
57,Male,Master's,Marketing Manager,18.0,Hyderabad,On-site,3859756
25,Male,Bachelor's,Data Scientist,14.0,Pune,Remote,2858500
26,Male,Bachelor's,Project Manager,10.7,Bangalore,Remote,2584010
46,Male,Bachelor's,Product Manager,0.6,Bangalore,On-site,1180548
41,Male,Bachelor's,QA Engineer,15.8,Bangalore,On-site,2945382
41,Male,Bachelor's,QA Engineer,17.7,Mumbai,Hybrid,3274638
58,Male,Master's,DevOps Engineer,18.9,Pune,Hybrid,3557662
52,Female,Bachelor's,Business Analyst,1.3,Noida,Hybrid,698308
34,Female,Bachelor's,QA Engineer,24.4,Noida,Remote,4185740
21,Male,Bachelor's,Product Manager,0.9,Mumbai,Remote,1149777
49,Female,Bachelor's,UX Designer,25.0,Bangalore,Hybrid,4370463
34,Female,Bachelor's,Frontend Developer,0.9,Gurgaon,Remote,786328
24,Female,Master's,Marketing Manager,17.8,Pune,Remote,3779651
45,Male,Master's,Backend Developer,21.1,Bangalore,On-site,3935264
47,Male,Bachelor's,Product Manager,1.0,Gurgaon,Remote,1223466
45,Male,Bachelor's,Project Manager,24.3,Chennai,Remote,4532925
42,Male,Master's,Backend Developer,19.3,Mumbai,Hybrid,3764255
58,Female,Bachelor's,HR Manager,23.0,Noida,Hybrid,4398102
18,Male,Bachelor's,Backend Developer,3.6,Chennai,Hybrid,1107169
20,Female,Bachelor's,Backend Developer,5.9,Chennai,On-site,1428594
55,Female,Master's,HR Manager,11.4,Noida,Hybrid,2827753
33,Female,PhD,UX Designer,13.0,Gurgaon,Hybrid,3112016
19,Female,Bachelor's,Intern,0.0,Pune,On-site,478440
47,Male,PhD,Full Stack Developer,11.6,Noida,Remote,2785731
51,Male,Bachelor's,DevOps Engineer,11.3,Noida,On-site,2268737
18,Female,Bachelor's,Backend Developer,15.4,Mumbai,Hybrid,2959601
30,Male,Bachelor's,Data Scientist,6.4,Mumbai,On-site,1946278
46,Male,Bachelor's,Full Stack Developer,16.2,Hyderabad,On-site,2954058
26,Male,Bachelor's,QA Engineer,12.6,Mumbai,Hybrid,2484501
50,Male,Bachelor's,UX Designer,21.3,Bangalore,On-site,3751480
24,Male,Master's,Data Scientist,19.4,Chennai,On-site,3935096
52,Male,Bachelor's,Business Analyst,11.5,Pune,Remote,2232905
33,Male,Master's,Software Engineer,19.3,Mumbai,On-site,3777010
38,Male,PhD,Marketing Manager,5.0,Noida,On-site,2237063
28,Female,Master's,UX Designer,2.1,Mumbai,On-site,1124274
32,Male,Bachelor's,DevOps Engineer,23.8,Hyderabad,Hybrid,4051853
53,Male,Master's,Frontend Developer,22.8,Hyderabad,Remote,4132009
18,Female,Bachelor's,DevOps Engineer,11.2,Pune,On-site,2273429
25,Female,Master's,DevOps Engineer,12.2,Pune,On-site,2629905
31,Female,Bachelor's,Project Manager,17.7,Bangalore,Hybrid,3719786
22,Female,Master's,Backend Developer,15.8,Pune,Remote,3100406
41,Female,Master's,Frontend Developer,15.7,Mumbai,Remote,3132589
43,Male,Bachelor's,Project Manager,10.4,Chennai,Remote,2472623
41,Male,Bachelor's,Marketing Manager,22.7,Pune,Remote,4329556
56,Male,Master's,Data Scientist,7.8,Bangalore,Hybrid,2334506
47,Male,PhD,Frontend Developer,8.3,Hyderabad,On-site,2201925
51,Male,Bachelor's,Software Engineer,14.7,Hyderabad,On-site,2763221
23,Male,Master's,Intern,1.0,Bangalore,Hybrid,592738
18,Female,Bachelor's,Intern,0.5,Noida,On-site,400786
53,Female,High School,UX Designer,18.0,Chennai,Hybrid,3222792
26,Female,Master's,Data Scientist,13.4,Chennai,Hybrid,2967145
31,Male,Bachelor's,Data Scientist,7.7,Hyderabad,Remote,2001551
25,Female,Master's,Data Scientist,11.7,Bangalore,On-site,2882749
31,Male,Master's,Backend Developer,24.4,Bangalore,Remote,4508011
19,Female,Bachelor's,Full Stack Developer,11.0,Chennai,Hybrid,2134249
30,Female,Bachelor's,UX Designer,9.0,Chennai,Hybrid,1897727
21,Female,Master's,Intern,0.5,Chennai,Remote,532058
22,Male,Bachelor's,Intern,0.4,Chennai,Hybrid,554896
45,Male,High School,Project Manager,10.7,Mumbai,Remote,2652187
34,Female,Bachelor's,Product Manager,15.2,Mumbai,Hybrid,3372876
36,Male,Master's,Frontend Developer,19.6,Bangalore,Remote,3765802
20,Female,Master's,UX Designer,10.7,Hyderabad,On-site,2383286
23,Female,Master's,Intern,0.5,Pune,On-site,331525
27,Male,PhD,UX Designer,2.6,Chennai,On-site,1380549
50,Female,Bachelor's,Frontend Developer,11.1,Pune,On-site,2236244
52,Male,Bachelor's,DevOps Engineer,2.5,Chennai,On-site,866216
20,Male,Bachelor's,Intern,0.1,Gurgaon,On-site,317754
36,Female,Bachelor's,DevOps Engineer,17.8,Gurgaon,Hybrid,3354209
45,Female,Bachelor's,UX Designer,18.5,Mumbai,Hybrid,3381993
21,Female,Bachelor's,Data Scientist,0.5,Noida,On-site,917289
32,Female,Bachelor's,Project Manager,14.2,Mumbai,On-site,3196035
26,Female,Master's,Project Manager,1.2,Pune,Hybrid,1302806
44,Male,Bachelor's,Software Engineer,19.3,Hyderabad,Remote,3348408
56,Male,Master's,HR Manager,0.4,Pune,Hybrid,1116773
31,Male,Master's,Data Scientist,17.8,Gurgaon,On-site,3793023
59,Female,Bachelor's,Product Manager,16.8,Pune,Remote,3417643
34,Male,Master's,Business Analyst,8.1,Mumbai,On-site,2057336
30,Female,Bachelor's,Product Manager,17.0,Pune,Remote,3488601
44,Female,Master's,Project Manager,19.0,Hyderabad,On-site,3919098
49,Male,PhD,UX Designer,8.3,Bangalore,Hybrid,2428325
30,Female,Master's,UX Designer,11.3,Gurgaon,Hybrid,2479028
26,Female,High School,QA Engineer,3.6,Hyderabad,Hybrid,997610
22,Male,Master's,Backend Developer,6.0,Pune,Remote,1582341
58,Male,Bachelor's,Project Manager,24.7,Pune,On-site,4628114
41,Male,Bachelor's,DevOps Engineer,13.1,Chennai,On-site,2491671
36,Female,PhD,Data Scientist,7.8,Bangalore,Hybrid,2645858
56,Female,Bachelor's,DevOps Engineer,1.1,Bangalore,Remote,738367
24,Male,PhD,Product Manager,11.4,Chennai,On-site,3077130
